"city","city_ascii","province_id","province_name","lat","lng","population","density","timezone","ranking","postal","id"
"Toronto","Toronto","ON","Ontario","43.7417","-79.3733","5429524","4334.4","America/Toronto","1","M5T M5V M5P M5S M5R M5E M5G M5A M5C M5B M5M M5N M5H M5J M4X M4Y M4R M4S M4P M4V M4W M4T M4J M4K M4H M4N M4L M4M M4B M4C M4A M4G M4E M3N M3M M3L M3K M3J M3H M3C M3B M3A M2P M2R M2L M2M M2N M2H M2J M2K M1C M1B M1E M1G M1H M1K M1J M1M M1L M1N M1P M1S M1R M1T M1W M1V M1X M9P M9R M9W M9V M9M M9L M9N M9A M9C M9B M6P M6R M6S M6A M6B M6C M6E M6G M6H M6J M6K M6L M6M M6N M8Z M8X M8Y M8V M8W","1124279679"
"Montréal","Montreal","QC","Quebec","45.5089","-73.5617","3519595","3889.0","America/Montreal","1","H1X H1Y H1Z H1P H1R H1S H1T H1V H1W H1H H1J H1K H1L H1M H1N H1A H1B H1C H1E H1G H2Y H2X H2Z H2T H2W H2V H2P H2S H2R H2M H2L H2N H2H H2K H2J H2E H2G H2A H2C H2B H3B H3C H3A H3G H3E H3J H3K H3H H3N H3L H3M H3R H3S H3V H3W H3T H3X H4G H4E H4C H4B H4A H4N H4M H4L H4K H4J H4H H4V H4S H4R H4P H8N H8S H8R H8P H8T H8Z H8Y H9A H9C H9E H9H H9J H9K","1124586170"
"Vancouver","Vancouver","BC","British Columbia","49.2500","-123.1000","2264823","5492.6","America/Vancouver","1","V6Z V6S V6R V6P V6N V6M V6L V6K V6J V6H V6G V6E V6C V6B V6A V5S V5P V5Z V5N V5L V5M V5K V5V V5W V5T V5R V5X V5Y","1124825478"
"Calgary","Calgary","AB","Alberta","51.0500","-114.0667","1239220","1501.1","America/Edmonton","1","T1Y T2H T2K T2J T2L T2N T2A T2C T2B T2E T2G T2Y T2X T2Z T2S T2R T2T T2V T3N T3L T3M T3J T3K T3H T3G T3E T3B T3C T3A T3R T3S T3P","1124690423"
"Edmonton","Edmonton","AB","Alberta","53.5344","-113.4903","1062643","1360.9","America/Edmonton","1","T5X T5Y T5Z T5P T5R T5S T5T T5V T5W T5H T5J T5K T5L T5M T5N T5A T5B T5C T5E T5G T6X T6T T6W T6V T6P T6S T6R T6M T6L T6H T6K T6J T6E T6G T6A T6C T6B","1124290735"
"Ottawa","Ottawa","ON","Ontario","45.4247","-75.6950","989567","334.0","America/Montreal","1","K4P K4M K4A K4B K4C K7S K1S K1R K1P K1W K1V K1T K1Z K1Y K1X K1C K1B K1G K1E K1K K1J K1H K1N K1M K1L K0A K2R K2S K2P K2V K2W K2T K2J K2K K2H K2L K2M K2B K2C K2A K2G K2E","1124399363"
"Mississauga","Mississauga","ON","Ontario","43.6000","-79.6500","721599","2467.6","America/Toronto","2","L4W L4V L4T L4Z L4Y L4X L5R L5V L5W L5A L5B L5C L5E L5G L5H L5J L5K L5L L5M L5N","1124112672"
"Winnipeg","Winnipeg","MB","Manitoba","49.8844","-97.1464","705244","1430.0","America/Winnipeg","1","R2N R2M R2L R2K R2J R2H R2G R2C R2Y R2X R2W R2V R2R R2P R3L R3M R3N R3H R3J R3K R3E R3G R3A R3B R3X R3Y R3T R3V R3W R3P R3R R3S","1124224963"
"Quebec City","Quebec City","QC","Quebec","46.8139","-71.2081","705103","1173.2","America/Montreal","1","G1N G1M G1L G1K G1J G1H G1G G1E G1C G1B G1Y G1X G1W G1V G1T G1S G1R G1P G3E G3G G3K G3J G2G G2E G2B G2C G2A G2N G2L G2M G2J G2K","1124823933"
"Hamilton","Hamilton","ON","Ontario","43.2567","-79.8692","693645","480.6","America/Toronto","2","L0R L0P L8W L8V L8T L8S L8R L8P L8G L8E L8N L8M L8L L8K L8J L8H L9G L9A L9B L9C L9H L9K N1R","1124567288"
"Brampton","Brampton","ON","Ontario","43.6833","-79.7667","593638","2228.7","America/Toronto","2","L7A L6T L6W L6V L6P L6S L6R L6Y L6X L6Z","1124625989"
"Surrey","Surrey","BC","British Columbia","49.1900","-122.8489","517887","1636.8","America/Vancouver","2","V4A V4N V4P V3R V3S V3T V3V V3W V3X V3Z","1124001454"
"Kitchener","Kitchener","ON","Ontario","43.4186","-80.4728","470015","3433.5","America/Toronto","1","N2K N2H N2N N2M N2C N2B N2A N2G N2E N2R N2P","1124158530"
"Laval","Laval","QC","Quebec","45.5833","-73.7500","422993","1710.9","America/Montreal","2","H7N H7L H7M H7J H7K H7H H7G H7E H7B H7C H7A H7X H7Y H7V H7W H7T H7R H7S H7P","1124922301"
"Halifax","Halifax","NS","Nova Scotia","44.6475","-63.5906","403131","73.4","America/Halifax","1","B2Z B2Y B2X B2W B2V B2T B2S B2R B3T B3V B3P B3R B3L B3M B3N B3H B3J B3K B3E B3G B3A B3B B0J B3Z B3S B4E B4G B4A B4C B4B B0N","1124130981"
"London","London","ON","Ontario","42.9836","-81.2497","383822","913.1","America/Toronto","2","N5Z N5X N5Y N5V N5W N6A N6P N6G N6E N6C N6N N6L N6J N6H N6B N6M N6K","1124469960"
"Victoria","Victoria","BC","British Columbia","48.4283","-123.3647","335696","4406.3","America/Vancouver","1","V8T V8W V8S V8R V9A V8V","1124147219"
"Markham","Markham","ON","Ontario","43.8767","-79.2633","328966","1549.2","America/Toronto","2","L3T L3R L3P L3S L6E L6G L6C L6B","1124272698"
"St. Catharines","St. Catharines","ON","Ontario","43.1833","-79.2333","309319","1384.8","America/Toronto","2","L2M L2N L2P L2S L2R L2T L2W","1124140229"
"Niagara Falls","Niagara Falls","ON","Ontario","43.0600","-79.1067","308596","419.9","America/Toronto","2","L2E L2G L2H L2J L3B","1124704011"
"Vaughan","Vaughan","ON","Ontario","43.8333","-79.5000","306233","1119.4","America/Toronto","2","L0J L4K L4J L4H L4L L6A","1124000141"
"Gatineau","Gatineau","QC","Quebec","45.4833","-75.6500","276245","773.7","America/Montreal","2","J8P J8R J8T J8Y J8X J8Z J8M J9J J9H J9A","1124722129"
